"host_id","host_name","host_url","host_total_listings_count","number_of_reviews","dirty_review_count","review_scores_cleanliness_clean","review_scores_rating_clean"
"51501835",Jeniffer,https://www.airbnb.com/users/show/51501835,"213","9",12,4.89,5.0
"7748180",Ryan,https://www.airbnb.com/users/show/7748180,"2"," NY,I'm a 30 year old Canadian living in Brooklyn New York. Before moving to New York",12,,0.0
"124357",Valeria,https://www.airbnb.com/users/show/124357,"10","163",11,4.54,4.61
"1343630",Antonio,https://www.airbnb.com/users/show/1343630,"2","215",11,4.35,4.52
"1420715",Omar And Kareema,https://www.airbnb.com/users/show/1420715,"3","256",11,4.75,4.8
"14902860",Velma,https://www.airbnb.com/users/show/14902860,"11","51",11,4.39,4.27
"15271110",Josandra,https://www.airbnb.com/users/show/15271110,"1","431",11,4.75,4.77
"1655939",Joris,https://www.airbnb.com/users/show/1655939,"2","330",11,4.69,4.73
"2177462",Marc,https://www.airbnb.com/users/show/2177462,"3","137",11,4.63,4.69
"24009463",Vadim,https://www.airbnb.com/users/show/24009463,"3","97",11,4.7,4.89
"26597048",M. Elizabeth,https://www.airbnb.com/users/show/26597048,"3"," ""Private entrance""",11,0.0,0.0
"2675998",Alice,https://www.airbnb.com/users/show/2675998,"4","116",11,4.74,4.77
"29817997",Alberto Y Candela,https://www.airbnb.com/users/show/29817997,"3","236",11,4.84,4.73
"3388950",Amaya,https://www.airbnb.com/users/show/3388950,"7","107",11,4.42,4.63
"3571821",Andy & Friends,https://www.airbnb.com/users/show/3571821,"6","120",11,4.32,4.63
"42273",Dani,https://www.airbnb.com/users/show/42273,"3","479",11,4.96,4.93
"434987",Jennifer,https://www.airbnb.com/users/show/434987,"1","207",11,3.88,4.34
"50523735",Grace,https://www.airbnb.com/users/show/50523735,"2","149",11,4.55,4.63
"66269338",Peggy,https://www.airbnb.com/users/show/66269338,"3","91",11,4.13,4.41
"9501531",Andre,https://www.airbnb.com/users/show/9501531,"11","171",11,4.22,4.31
"1417757",Kwab,https://www.airbnb.com/users/show/1417757,"3", stove-top,10,0.0,0.0
"16677326",Alex And Zeena,https://www.airbnb.com/users/show/16677326,"25","406",10,4.53,4.45
"1895793",Eduardo,https://www.airbnb.com/users/show/1895793,"2","224",10,4.88,4.84
"2119276",Eran,https://www.airbnb.com/users/show/2119276,"48","17",10,4.67,4.8
"2520125",Katja And Jermaine,https://www.airbnb.com/users/show/2520125,"3","190",10,4.69,4.58
"25517905",Andreas,https://www.airbnb.com/users/show/25517905,"4","358",10,4.36,4.61
"276291",Simon,https://www.airbnb.com/users/show/276291,"2","340",10,4.95,4.87
"314582",Anthony,https://www.airbnb.com/users/show/314582,"4","273",10,4.83,4.75
"3363749",Alex,https://www.airbnb.com/users/show/3363749,"3","163",10,4.99,4.98
"3752523",Ari,https://www.airbnb.com/users/show/3752523,"2","205",10,4.46,4.55
"40828217",Anita,https://www.airbnb.com/users/show/40828217,"6","88",10,4.24,4.33
"4284154",Jennifer,https://www.airbnb.com/users/show/4284154,"2","304",10,4.75,4.76
"4417493",D,https://www.airbnb.com/users/show/4417493,"1"," ""Cooking basics""",10,0.0,0.0
"4562182",Florence,https://www.airbnb.com/users/show/4562182,"4","118",10,4.9,4.75
"47784768",Yemi,https://www.airbnb.com/users/show/47784768,"4","61",10,4.93,4.84
"49509847",Abhilasha Ashiv,https://www.airbnb.com/users/show/49509847,"1","133",10,4.2,4.41
"57165692",Charles,https://www.airbnb.com/users/show/57165692,"4","309",10,4.79,4.77
"5800619",Catia,https://www.airbnb.com/users/show/5800619,"2","260",10,4.94,4.93
"8732694",Ravanna,https://www.airbnb.com/users/show/8732694,"2","289",10,4.68,4.66
"9645460",Michael,https://www.airbnb.com/users/show/9645460,"3","83",10,4.5,4.43
"10256663",Rachel,https://www.airbnb.com/users/show/10256663,"1","207",9,4.82,4.69
"16782573",Dorina,https://www.airbnb.com/users/show/16782573,"5"," ""Conditioner""],$110.00,4,21,4,4,21,21,4.0,21.0,,t,4,19,40,306,2022-09-07,251,35,2,2014-07-22,2022-09-04,4.93,4.93,4.92,4.98,4.97,4.74,4.9,,f,2,2,0,0,2.54
3191678,https://www.airbnb.com/rooms/3191678,20220907064715,2022-09-07,city scrape,Private Room in Riverdale NY,Private room with its private bathroom in a townhouse. Wooden deck & backyard in family friendly N. Riverdale of northern NYC. Free parking. Walk 12 mins.(0.6mi) for No. 1 subway/W242nd St for Manhattan. Easy access to Westchester County via 87 and 9A.<br /><br /><b>The space</b><br />The room is our family room in a walk out basement with windows. We have upgraded to a King size bed with a thick hybrid memory foam and inner spring mattress.  A private ensuite bathroom with a shower is used exclusively by guests. Room has a mini fridge. Upon request",9,0.0,0.0
"17479416",Tae,https://www.airbnb.com/users/show/17479416,"3","101",9,4.71,4.58
"176836",Gil,https://www.airbnb.com/users/show/176836,"1"," ""Shampoo""",9,0.0,0.0
"1884204",Mark,https://www.airbnb.com/users/show/1884204,"2","259",9,4.81,4.79
"199392",S.M.,https://www.airbnb.com/users/show/199392,"5"," ""Ceiling fan""",9,0.0,0.0
"20109188",Neanna,https://www.airbnb.com/users/show/20109188,"14","211",9,4.89,4.94
"2267864",Gary,https://www.airbnb.com/users/show/2267864,"2"," ""Iron""",9,0.0,0.0
"24561040",Ame,https://www.airbnb.com/users/show/24561040,"3","214",9,4.68,4.76
"2695451",Elle,https://www.airbnb.com/users/show/2695451,"10","378",9,4.62,4.63
"2806561",Noemie,https://www.airbnb.com/users/show/2806561,"4","300",9,4.81,4.78
"31614694",Silvia,https://www.airbnb.com/users/show/31614694,"1","263",9,4.89,4.8
"32164030",Ikkyukim,https://www.airbnb.com/users/show/32164030,"7","21",9,4.28,4.55
"3319410",Dawn,https://www.airbnb.com/users/show/3319410,"3","231",9,4.39,4.46
"43599290",Scott,https://www.airbnb.com/users/show/43599290,"6","208",9,4.56,4.64
"4396",Casey,https://www.airbnb.com/users/show/4396,"4","162",9,4.44,4.7
"4703464",Johanny,https://www.airbnb.com/users/show/4703464,"2","88",9,4.35,4.43
"48899736",Lindsay,https://www.airbnb.com/users/show/48899736,"3","203",9,4.73,4.81
"4964784",Jon,https://www.airbnb.com/users/show/4964784,"2","209",9,4.91,4.96
"5162192",Amy,https://www.airbnb.com/users/show/5162192,"27","10",9,4.63,4.89
"519554",Sinem,https://www.airbnb.com/users/show/519554,"6","89",9,3.75,4.26
"5414067",Adrianne,https://www.airbnb.com/users/show/5414067,"2","369",9,4.46,4.55
"54275",JT And Tiziana,https://www.airbnb.com/users/show/54275,"4","169",9,4.44,4.67
"64676041",Mey,https://www.airbnb.com/users/show/64676041,"2","120",9,4.84,4.73
"64948443",Kim,https://www.airbnb.com/users/show/64948443,"1","150",9,4.87,4.81
"686768",Mark,https://www.airbnb.com/users/show/686768,"2","263",9,4.74,4.71
"7379093",Francesca,https://www.airbnb.com/users/show/7379093,"9","177",9,4.63,4.77
"9646150",Lila (Eli),https://www.airbnb.com/users/show/9646150,"3","163",9,4.37,4.75
"10630723",Nancy,https://www.airbnb.com/users/show/10630723,"8","319",8,4.91,4.79
"1141935",Ana,https://www.airbnb.com/users/show/1141935,"3","127",8,4.51,4.53
"12327430",Marco,https://www.airbnb.com/users/show/12327430,"3","303",8,4.88,4.8
"1288460",Al-,https://www.airbnb.com/users/show/1288460,"6","245",8,4.54,4.62
"13063145",Vinneth,https://www.airbnb.com/users/show/13063145,"2","260",8,4.78,4.62
"13347167",AFI Apartments,https://www.airbnb.com/users/show/13347167,"31","8",8,4.88,4.5
"13974214",Jonathan,https://www.airbnb.com/users/show/13974214,"1","117",8,4.83,4.87
"1489696",Mike,https://www.airbnb.com/users/show/1489696,"2","351",8,4.61,4.74
"15697051",Assiati And Tonderai,https://www.airbnb.com/users/show/15697051,"1"," ""Dining table""",8,0.0,0.0
"16790098",Shawn & Christine,https://www.airbnb.com/users/show/16790098,"1","287",8,4.68,4.82
"2085639",Eada,https://www.airbnb.com/users/show/2085639,"1","224",8,4.65,4.58
"210746",Kathleen R.,https://www.airbnb.com/users/show/210746,"4","65",8,4.56,4.69
"2282450",Philip,https://www.airbnb.com/users/show/2282450,"4","45",8,4.62,4.56
"23635670",Johnny,https://www.airbnb.com/users/show/23635670,"2", Jimmy Choo... and countless other top designers are just shopping steps away.   Spectacular atmosphere,8,0.0,0.0
"24382598",Leesa,https://www.airbnb.com/users/show/24382598,"2","199",8,4.91,4.9
"2675644",Alissa,https://www.airbnb.com/users/show/2675644,"19","88",8,4.12,4.13
"27240092",Darin,https://www.airbnb.com/users/show/27240092,"1","188",8,4.71,4.87
"27673980",Amy,https://www.airbnb.com/users/show/27673980,"8","104",8,4.52,4.63
"313317",Niya,https://www.airbnb.com/users/show/313317,"1","308",8,4.83,4.79
"320538",Larissa,https://www.airbnb.com/users/show/320538,"2","162",8,4.59,4.53
"3260817",Carlos,https://www.airbnb.com/users/show/3260817,"9","292",8,4.7,4.47
"33936693",Sara,https://www.airbnb.com/users/show/33936693,"1","155",8,4.72,4.79
"357218",Cgb,https://www.airbnb.com/users/show/357218,"2","203",8,4.56,4.69
"35935",Angela,https://www.airbnb.com/users/show/35935,"6","23",8,4.14,4.36
"36265155",Yoko,https://www.airbnb.com/users/show/36265155,"10","374",8,4.6,4.55
"36821356",Vitaly And Lena,https://www.airbnb.com/users/show/36821356,"1","94",8,4.65,4.64
"37676608",Akini,https://www.airbnb.com/users/show/37676608,"3","312",8,4.83,4.8
"3841446",Tony,https://www.airbnb.com/users/show/3841446,"5","268",8,4.8,4.83
"4279005",Jefry,https://www.airbnb.com/users/show/4279005,"3","67",8,4.0,4.29
"43137812",Lenny,https://www.airbnb.com/users/show/43137812,"7","203",8,4.41,4.45
"4440548",Thomas,https://www.airbnb.com/users/show/4440548,"2","237",8,4.85,4.87
"4451246",Raymond,https://www.airbnb.com/users/show/4451246,"1","219",8,4.9,4.93
"46979077",Maya,https://www.airbnb.com/users/show/46979077,"2","217",8,4.78,4.75
"473113",Keishera,https://www.airbnb.com/users/show/473113,"1","137",8,4.77,4.86
"50292584",Haydee,https://www.airbnb.com/users/show/50292584,"2","114",8,4.77,4.73
"5268758",Jennifer,https://www.airbnb.com/users/show/5268758,"3","215",8,4.83,4.9
"65809485",Shirley,https://www.airbnb.com/users/show/65809485,"20","94",8,4.63,4.35
"68309691",Cindy,https://www.airbnb.com/users/show/68309691,"1","296",8,4.96,4.91
"687062",Sarah,https://www.airbnb.com/users/show/687062,"2","213",8,4.77,4.72
"722320",Gladys,https://www.airbnb.com/users/show/722320,"8","507",8,4.77,4.86
"7309232",London,https://www.airbnb.com/users/show/7309232,"2"," ""Smoke alarm""",8,0.0,0.0
"849492",Kathrine,https://www.airbnb.com/users/show/849492,"1","115",8,4.86,4.76
"9646158",Frederick,https://www.airbnb.com/users/show/9646158,"3","211",8,4.75,4.73
"10384087",Todd,https://www.airbnb.com/users/show/10384087,"1"," ""Dishes and silverware""",7,0.0,0.0
"1172202",Funda,https://www.airbnb.com/users/show/1172202,"11", New York,7,0.0,0.0
"11968309",Raviv,https://www.airbnb.com/users/show/11968309,"1","67",7,4.42,4.72
"12186466",Edmund,https://www.airbnb.com/users/show/12186466,"1"," ""Smoke alarm""",7,0.0,0.0
"1260921",Victor,https://www.airbnb.com/users/show/1260921,"4","114",7,4.62,4.68
